Cancer	Gene	cnv	N.cells.with.cnv
BRCA	CELF2	Loss	1998
BRCA	USP6NL	Gain	8425
BRCA	USP6NL	Loss	1998
BRCA	UPF2	Gain	8425
BRCA	UPF2	Loss	1998
BRCA	DHTKD1	Gain	8425
BRCA	DHTKD1	Loss	1547
BRCA	CDC123	Gain	8425
BRCA	CDC123	Loss	1998
BRCA	OPTN	Gain	3249
BRCA	OPTN	Loss	2362
BRCA	PRPF18	Gain	8425
BRCA	PRPF18	Loss	2362
BRCA	AL157392.3	Gain	8425
BRCA	AL157392.3	Loss	1547
BRCA	FRMD4A	Gain	8425
BRCA	FRMD4A	Loss	2362
BRCA	FAM107B	Gain	8425
BRCA	FAM107B	Loss	2362
BRCA	DCLRE1C	Gain	8425
BRCA	DCLRE1C	Loss	2362
BRCA	RPP38	Gain	7315
BRCA	RPP38	Loss	2362
BRCA	MINDY3	Gain	7315
BRCA	MINDY3	Loss	3026
BRCA	PTER	Gain	3249
BRCA	PTER	Loss	1547
BRCA	ST8SIA6	Gain	6021
BRCA	ST8SIA6	Loss	1547
BRCA	ST8SIA6-AS1	Gain	6021
BRCA	ST8SIA6-AS1	Loss	1547
BRCA	STAM	Gain	8247
BRCA	STAM	Loss	3468
BRCA	CACNB2	Gain	8247
BRCA	CACNB2	Loss	3468
BRCA	AL450384.2	Gain	4843
BRCA	AL450384.2	Loss	1547
BRCA	NSUN6	Gain	8247
BRCA	NSUN6	Loss	3468
BRCA	MALRD1	Gain	4998
BRCA	MALRD1	Loss	1547
BRCA	PLXDC2	Gain	6709
BRCA	PLXDC2	Loss	3468
BRCA	NEBL	Gain	6709
BRCA	NEBL	Loss	3468
BRCA	MLLT10	Gain	6709
BRCA	MLLT10	Loss	3468
BRCA	DNAJC1	Gain	5907
BRCA	DNAJC1	Loss	4110
BRCA	COMMD3	Gain	5294
BRCA	COMMD3	Loss	1547
BRCA	PIP4K2A	Gain	5354
BRCA	PIP4K2A	Loss	4110
BRCA	KIAA1217	Gain	5354
BRCA	KIAA1217	Loss	4965
BRCA	ARHGAP21	Gain	5354
BRCA	ARHGAP21	Loss	4390
BRCA	GPR158	Gain	2677
BRCA	GPR158	Loss	855
BRCA	APBB1IP	Gain	4903
BRCA	APBB1IP	Loss	3535
BRCA	ABI1	Gain	5354
BRCA	ABI1	Loss	4390
BRCA	ANKRD26	Gain	5354
